Name,Formula,CAS,wt,CPLC1,CPLC2,CPLC3,CPLC4,CPLC5,CPLTmin,CPLTmax,Tc,Pc,Vc,Zc,Acentric factor,Hig_f,Gig_f,Sig,Hstd_c,VPC1,VPC2,VPC3,VPC4,VPC5,VPTmin,VPTmax,LDC1,LDC2,LDC3,LDC4,LDTmin,LDTmax,HVC1,HVC2,HVC3,HVC4,HVTmin,HVTmax,CPGC1,CPGC2,CPGC3,CPGC4,CPGC5,CPGTmin,CPGTmax,VAPVISC1,VAPVISC2,VAPVISC3,VAPVISC4,VAPVISTmin,VAPVISTmax,LIQVISC1,LIQVISC2,LIQVISC3,LIQVISC4,LIQVISC5,LIQVISTmin,LIQVISTmax,GASTCC1,GASTCC2,GASTCC3,GASTCC4,GASTCTmin,GASTCTmax,LICTCC1,LICTCC2,LICTCC3,LICTCC4,LICTCC5,LICTCTmin,LICTCYmax
Cyclohexyl mercaptan,C6H12S,1569-69-3,116.22,177560,-179.12,0.76723,0,0,189.64,431.95,664,3.97,0.355,0.255,0.2641,-96.02,48.86,0.3646,-3968,85.146,"-7,843.70",-9.2982,5.18E-06,2,189.64,664,0.78578,0.27882,664,0.31067,189.64,664,56067000,0.38729,0,0,189.64,664,54305,399620,1357.5,256230,618.54,300,1200,3.92E-08,0.91427,22.264,0,189.64,1000,-11.338,1304.1,0.000092396,0,0,189.64,431.95,0,1.0674,697.6,0,431.95,"1,000",0.18374,-0.0001925,0,0,0,189.64,431.95
Decanal,C10H20O,112-31-2,156.27,150460,586.63,0,0,0,267.15,488.15,674.2,2.6,0.58,0.269,0.582,-331.7,-67.39,0.57912,-5959,201.64,"-15,133",-26.264,0.000014625,2,267.15,674.2,0.46802,0.27146,674.2,0.26869,267.15,674.2,79073000,0.4129,0,0,267.15,674.2,196410,514120,1898.9,412780,862.51,200,1500,1.26E-07,0.7248,176.88,0,267.15,1000,-10.115,1111.9,-0.015659,0,0,267.15,488.15,-4.9825,0.04928,"-1,107","-67,349,000",488.15,"1,000",0.20383,-0.0002,0,0,0,267.15,488.15
Decane,C10H22,124-18-5,142.28,278620,-197.91,1.0737,0,0,243.51,460,617.7,2.11,0.617,0.254,0.4923,-249.46,33.18,0.5457,-6294.22,112.73,"-9,749.60",-13.245,7.13E-06,2,243.51,617.7,0.41084,0.25175,617.7,0.28571,243.51,617.7,66126000,0.39797,0,0,243.51,617.7,167200,535300,1614.1,378200,742,200,1500,2.64E-08,0.9487,71,0,243.51,1000,-9.6489,1181.1,-0.24367,9.05E+34,-15,240.05,494.16,-668.4,0.9323,-4071000000,0,447.3,"1,000",0.2063,-0.00025,0,0,0,243.51,447.3
Decanoic acid,C10H20O2,334-48-5,172.27,219840,140.41,0.9968,0,0,304.75,543.15,722.1,2.28,0.639,0.243,0.8126,-594.3,-305,0.599,-5720,123.36,"-14,680",-13.474,1.95E-18,6,304.55,722.1,0.39348,0.2492,722.1,0.28571,304.55,722.1,131070000,1.0674,-0.97372,0.40491,304.55,722.1,24457,654600,1089.9,486420,424,298.15,1500,7.17E-08,0.7982,109.38,0,304.55,1000,-12.305,2324.1,-0.055494,0,0,304.55,543.15,0.00017047,0.9313,757.67,0,543.15,"1,000",0.206,-0.0002,0,0,0,304.75,543.15
1-Decanol,C10H22O,112-30-1,158.28,4988500,-52898,216.35,-0.37538,0.00023674,280.05,503,688,2.308,0.645,0.26,0.607,-398.5,-100.2,0.5971,-6116,156.239,"-15,212",-18.424,8.50E-18,6,280.05,688,0.38208,0.24645,688,0.26125,280.05,688,79041000,-1.36,4.0854,-2.3871,280.05,688,169840,539200,1568,393800,720.5,200,1500,5.51E-08,0.8341,79.56,0,280.05,1000,-69.985,5818.8,8.0715,0,0,285,503,-0.3072,0.489,"-67,500","-29,400,000",504.07,"1,000",0.228,-0.000223,0,0,0,280.05,503
1-Decene,C10H20,872-05-9,140.27,417440,-1616.5,5.3948,-0.004348,0,206.89,443.75,616.6,2.223,0.584,0.253,0.4805,-122.1,122.7,0.5433,-6180.9,68.401,"-7,776.90",-6.4637,6.38E-18,6,206.89,616.6,0.43981,0.25661,616.6,0.29148,206.89,616.6,66985000,0.76944,-0.79975,0.42379,206.89,616.6,171010,520890,1726.5,359350,782.92,298.15,1500,6.12E-08,0.82546,77.434,0,206.89,1000,-15.868,1434.8,0.68071,0,0,206.89,443.75,0,1.257,751.7,0,443.75,"1,000",0.20237,-0.00024187,0,0,0,206.89,443.75
Decyl mercaptan,C10H22S,143-10-2,174.35,314570,-160.93,0.95561,0,0,247.56,512.35,696,2.13,0.624,0.23,0.5874,-210.9,61.65,0.6116,-6616.1,91.91,"-10,565",-9.5957,5.70E-18,6,247.56,696,0.44289,0.27636,696,0.27668,247.56,696,80617000,0.41045,0,0,247.56,696,193100,548150,1608.5,374000,754.75,200,1500,3.27E-08,0.9302,39.13,0,247.56,1000,-11.464,1510.1,-0.012754,0,0,247.56,512.35,0.00012058,1.0111,740,0,512.35,"1,000",0.20134,-0.00020826,0,0,0,247.56,512.35
1-Decyne,C10H18,764-93-2,138.25,276900,-371.23,1.5774,0,0,229.15,447.15,619.85,2.37,0.552,0.254,0.5178,41,251.6,0.5263,-6103.7,142.94,"-11,119",-17.818,0.00001102,2,229.15,619.85,0.46877,0.25875,619.85,0.29479,229.15,619.85,69461000,0.42109,0,0,229.15,619.85,150450,437940,1329.1,255570,632.01,298,1500,5.69E-07,0.50744,273.3,0,229.15,1000,-2.3633,791.93,-1.2272,0,0,229.15,505.6,0,1.2128,-206.08,"153,850",447.15,"1,000",0.20839,-0.00023622,0,0,0,229.15,447.15
Deuterium,D2,7782-39-0,4.03,0,0,0,0,0,0,0,38.35,1.6617,0.060263,0.314,-0.1449,0,0,0.14486,-246.25,18.947,-154.47,-0.5723,0.038899,1,18.73,38.35,5.2115,0.315,38.35,0.28571,18.73,38.35,1657000,0.352,0,0,18.73,38.35,30290,9750,2515,-2750,368,100,1500,2.50E-07,0.6878,0.5962,0,60,480,0.000001348,0,0,0,0,20.35,20.35,0.00028527,0.9874,-200.51,"21,807",233.15,"1,500",1.264,0,0,0,0,20.4,20.4
"1,1-Dibromoethane",C2H4Br2,557-91-5,187.86,149400,-231.8,0.5946,0,0,210.15,381.15,628,6.03,0.276,0.319,0.125,-40.8,-11.81,0.3276,-1160,62.711,"-6,503.50",-5.7669,1.04E-06,2,210.15,628,0.95523,0.26364,628,0.29825,210.15,628,57120000,0.5255,0,0,210.15,628,59270,115800,1493.1,84280,655.5,200,1500,1.41E-07,0.8097,83.243,0,210.15,1000,-10.457,1101.1,-0.0031354,0,0,210.15,381.15,0.00021231,0.8052,649.51,0,381.15,"1,000",0.1426,-0.00016402,0,0,0,210.15,498.4
