Name,Formula,CAS,wt,CPLC1,CPLC2,CPLC3,CPLC4,CPLC5,CPLTmin,CPLTmax,Tc,Pc,Vc,Zc,Acentric factor,Hig_f,Gig_f,Sig,Hstd_c,VPC1,VPC2,VPC3,VPC4,VPC5,VPTmin,VPTmax,LDC1,LDC2,LDC3,LDC4,LDTmin,LDTmax,HVC1,HVC2,HVC3,HVC4,HVTmin,HVTmax,CPGC1,CPGC2,CPGC3,CPGC4,CPGC5,CPGTmin,CPGTmax,VAPVISC1,VAPVISC2,VAPVISC3,VAPVISC4,VAPVISTmin,VAPVISTmax,LIQVISC1,LIQVISC2,LIQVISC3,LIQVISC4,LIQVISC5,LIQVISTmin,LIQVISTmax,GASTCC1,GASTCC2,GASTCC3,GASTCC4,GASTCTmin,GASTCTmax,LICTCC1,LICTCC2,LICTCC3,LICTCC4,LICTCC5,LICTCTmin,LICTCYmax
Di-isopropyl ketone,C7H14O,565-80-0,114.19,179270,28.37,0.5375,0,0,204.81,410,576,3.02,0.416,0.262,0.4044,-311.4,-123.7,0.427,-4095,50.868,"-6,036.50",-4.066,1.13E-06,2,204.81,576,0.64619,0.26881,576,0.28036,204.81,576,50256000,0.29611,0,0,204.81,576,108690,405400,1780.2,297860,791.6,300,1500,9.28E-08,0.7819,93.399,0,204.81,1000,-15.097,1426.9,0.51512,0,0,204.81,397.55,-8.5357,-0.006,1882.1,"-65,622,000",397.55,"1,000",0.22076,-0.00027624,0,0,0,204.81,460
"1,1-Dimethoxyethane",C4H10O2,534-15-6,90.12,187790,-313.41,1.1023,0,0,159.95,337.45,507.8,3.773,0.297,0.265,0.3277,-389.7,-238,0.3726,-2394,53.637,"-5,251.20",-4.5649,1.68E-17,6,159.95,507.8,0.89368,0.26599,507.8,0.28571,159.95,507.8,43872000,0.56226,-0.60662,0.4202,159.95,507.8,115560,183050,959.19,99605,2826.3,298.15,1500,4.42E-08,0.91098,0,0,159.95,1000,-10.968,885.49,0,0,0,159.95,337.45,0.00046265,0.81968,539.34,"104,530",337.45,"1,000",0.22078,-0.00031271,0,0,0,159.95,337.45
"1,2-Dimethoxypropane",C5H12O2,7778-85-0,104.15,199930,-191.5,0.87664,0,0,226.1,366.15,543,3.446,0.35,0.267,0.3522,-384.2,-201.1,0.4038,-2996,62.097,"-6,174.90",-5.715,1.23E-17,6,226.1,543,0.76327,0.26742,543,0.28571,226.1,543,47999000,0.30724,-0.024545,0.091361,226.1,543,101130,323930,1561.1,215010,689.3,298.15,1500,3.98E-08,0.91566,0,0,226.1,1000,-10.631,1086.4,0,0,0,226.1,366.15,3.80E-06,1.4462,0,0,366.15,"1,000",0.22998,-0.00030372,0,0,0,226.1,366.15
Dimethyl acetylene,C4H6,503-17-3,54.09,88153,124.16,0,0,0,240.91,300.13,473.2,4.87,0.221,0.274,0.2385,145.7,184.9,0.2833,-2418.9,66.592,"-4,999.80",-6.8387,6.68E-06,2,240.91,473.2,1.1717,0.25895,473.2,0.27289,240.91,473.2,38560000,0.3737,0,0,240.91,473.2,65340,161790,1783.7,102420,821.4,200,1500,1.94E-06,0.4093,492.69,0,240.91,1000,0.10842,300.2,-1.6831,0,0,240.91,371,0.00021761,0.9187,217,"132,070",300.13,"1,000",0.22773,-0.00034804,0,0,0,240.91,300.13
Dimethyl amine,C2H7N,124-40-3,45.08,-214870,3787.2,-13.781,0.016924,0,180.96,298.15,437.2,5.34,0.18,0.264,0.2999,-18.45,68.39,0.27296,-1614.6,71.738,"-5,302",-7.3324,6.42E-17,6,180.96,437.2,1.5436,0.27784,437.2,0.2572,180.96,437.2,40900000,0.42005,0,0,180.96,437.2,55650,163840,1734.1,108990,793.04,200,1500,2.76E-07,0.6841,133.2,0,180.96,1000,-10.93,699.5,0,0,0,200,308.15,1.6085,-0.1103,2160.3,"2,989,300",280.03,"1,000",0.2454,-0.000338,0,0,0,180.96,403.15
"2,3-Dimethylbutane",C6H14,79-29-8,86.18,129450,18.5,0.608,0,0,145.19,331.13,500,3.15,0.361,0.274,0.2493,-176.8,-3.125,0.36592,-3847.61,77.161,"-5,691.10",-8.501,8.03E-06,2,145.19,500,0.7565,0.27305,500,0.27408,145.19,500,41509000,0.38383,0,0,145.19,500,77720,403200,1544,250800,649.95,200,1500,6.86E-07,0.52542,278.82,0,145.19,1000,7.2565,221.4,-2.7946,0,0,220,331.13,0,1.1646,-99.956,"130,820",331.13,"1,000",0.1774,-0.0002436,0,0,0,145.19,331.15
"1,1-Dimethylcyclohexane",C8H16,590-66-9,112.21,134500,8.765,0.81151,0,0,239.66,392.7,591.15,2.938,0.45,0.269,0.2326,-181,35.2293,0.365012,-4863.9,81.184,"-6,927",-8.8498,0.000005458,2,239.66,591.15,0.55873,0.25143,591.15,0.27758,239.66,591.15,50402000,0.4036,0,0,239.66,591.15,107760,467180,1654,333970,792.5,200,1500,7.82E-07,0.4994,371.6,0,392.7,1000,-10.716,1140.5,-0.047736,0,0,239.66,392.7,0.0089,0.4215,-50.645,"764,580",392.7,"1,000",0.1807,-0.0002177,0,0,0,239.66,392.7
"cis-1,2-Dimethylcyclohexane",C8H16,04/01/2207,112.21,150130,-62.38,0.8851,0,0,223.16,402.94,606.15,2.938,0.46,0.268,0.2324,-172.172,41.2124,0.37451,-4870.84,78.952,"-7,075.40",-8.4344,4.50E-06,2,223.16,606.15,0.52953,0.24358,606.15,0.26809,223.16,606.15,52852000,0.41607,0,0,223.16,606.15,110390,464450,1694.3,339490,798.35,200,1500,8.46E-07,0.487,398,0,402.94,1000,-11.796,1463.5,0,0,0,223.16,484.92,0.0133,0.3692,0.1027,"852,540",402.94,"1,000",0.18092,-0.0002108,0,0,0,223.16,402.94
"trans-1,2-Dimethylcyclohexane",C8H16,6876-23-9,112.21,155560,-145.26,1.0932,0,0,184.99,396.58,596.15,2.938,0.46,0.273,0.2379,-179.996,34.4761,0.370912,-4864.36,78.429,"-6,882.10",-8.4129,4.98E-06,2,184.99,596.15,0.54405,0.25026,596.15,0.2658,184.99,596.15,51194000,0.405,0,0,184.99,596.15,109910,464010,1667.9,337360,781.97,200,1500,9.91E-07,0.4723,436.89,0,396.58,1000,-11.344,1168.9,0.04513,0,0,184.99,396.58,0.0121,0.3854,52.191,"803,590",396.58,"1,000",0.17675,-0.0002077,0,0,0,184.99,596.15
Dimethyl disulfide,C2H6S2,624-92-0,94.2,171580,-256.67,0.5727,0,0,188.44,360,615,5.36,0.252,0.264,0.2059,-24.2,15.16,0.335291,-2044.1,81.045,"-6,941.30",-8.777,5.55E-06,2,188.44,615,1.1058,0.27866,615,0.31082,188.44,615,49825000,0.3958,0,0,188.44,615,78430,143640,1583.6,87100,730.65,200,1500,3.23E-08,0.97742,0,0,188.44,1000,-10.577,1172.6,-0.14244,0,0,188.44,382.9,0.00022578,0.892,697,0,382.9,"1,000",0.21373,-0.0002447,0,0,0,188.44,382.9
Dimethyl ether,C2H6O,115-10-6,46.07,110100,-157.47,0.51853,0,0,131.65,250,400.1,5.37,0.17,0.2744,0.2002,-184.1,-112.8,0.2667,-1328.4,44.704,"-3,525.60",-3.4444,5.46E-17,6,131.65,400.1,1.5693,0.2679,400.1,0.2882,131.65,400.1,29940000,0.3505,0,0,131.65,400.1,51480,144200,1603.4,77470,725.4,200,1500,0.00000268,0.3975,534,0,131.65,1000,-10.62,448.99,0.000083967,0,0,131.65,248.31,0.06,0.2667,1018.6,"1,098,800",248.31,"1,500",0.31174,-0.0005638,0,0,0,131.65,320.03
"N,N-Dimethyl formamide",C3H7NO,68-12-2,73.09,147900,-106,0.384,0,0,273.82,466.44,649.6,4.42,0.26199,0.214,0.3177,-191.7,-88.4,0.326,-1788.71,82.762,"-7,955.50",-8.8038,4.24E-06,2,212.72,649.6,0.89615,0.23478,649.6,0.28091,212.72,649.6,59217000,0.37996,0,0,212.72,649.6,72200,178300,1532,131000,762,200,1500,3.55E-06,0.3766,1176.1,0,212.72,1000,-20.425,1515.5,1.4444,0,0,240,425.15,0.0144,0.3612,595.22,"728,130",425.15,"1,000",0.26,-0.000255,0,0,0,250,425.15
"2,3-Dimethylpentane",C7H16,565-59-3,100.2,146420,59.2,0.604,0,0,90,380,537.3,2.91,0.393,0.256,0.2964,-194.1,5.717,0.41455,-4460.75,78.335,"-6,348.70",-8.5105,6.43E-06,2,160,537.3,0.72352,0.28629,537.3,0.27121,160,537.3,46533000,0.37577,0,0,160,537.3,85438,457720,1518.1,297400,641.01,200,1500,5.04E-07,0.54462,227.44,0,160,1000,-12.08,1112.2,0.09654,0,0,160,362.93,0,1.2137,-146.91,"131,830",362.93,"1,000",0.17964,-0.000246,0,0,0,160,362.93
Dimethyl phthalate,C10H10O4,131-11-3,194.18,206560,325.75,0,0,0,274.16,360,766,2.78,0.53,0.231,0.6568,-605,-467.749,0.66,-4466.2,72.517,"-10,415",-6.755,1.33E-06,2,274.18,766,0.47977,0.25428,766,0.30722,274.18,766,81578000,0.29346,0,0,274.18,766,139600,478000,2190,397050,900.6,300,1200,5.22E-08,0.85584,69.036,0,274.18,1000,16.961,-423.16,-3.8178,1.36E+15,-6,274.18,612.8,0.00012822,0.9324,752.5,0,556.85,"1,000",0.13905,0.0001509,-3.98E-07,0,0,273.15,556.85
Dimethylsilane,C2H8Si,1111-74-6,60.17,131810,0,0,0,0,298.15,298.15,402,3.56,0.258,0.275,0.13,-94.7,-19.25,0.29953,-2569,63.08,"-4,062.30",-6.425,1.51E-16,6,122.93,402,1.0214,0.26351,402,0.28421,122.93,402,28365000,0.35393,0,0,122.93,402,61453,174380,1341.8,101020,592.09,200,1500,4.72E-08,0.90849,0,0,122.93,1000,0,0,0,0,0,None,None,0.001,0.742,"1,131","6,400",253.55,"1,000",0.25547,-0.0004411,0,0,122.93,0.2013,0.1436
Dimethyl sulfide,C2H6S,75-18-3,62.13,146950,-380.06,1.2035,-0.00084787,0,174.88,310.48,503.04,5.53,0.201,0.266,0.1943,-37.24,7.302,0.28585,-1744.3,84.39,"-5,740.60",-9.6454,0.000010073,2,174.88,503.04,1.4029,0.27991,503.04,0.2741,174.88,503.04,39022000,0.37731,0,0,174.88,503.04,60370,137470,1641,79880,743.5,200,1500,5.29E-07,0.6112,302.85,0,174.88,1000,-17.641,1067.5,1.0317,0,0,225,310.48,0.00023614,0.9204,638,0,310.48,"1,000",0.23942,-0.0003311,0,0,174.88,0.1815,0.1366
Dimethyl sulfoxide,C2H6OS,67-68-5,78.13,240300,-595,1.013,0,0,291.67,422.15,729,5.65,0.227,0.212,0.2806,-150.46,-81.441,0.30627,-1605.4,56.273,"-7,620.60",-4.6279,4.38E-07,2,291.67,729,1.1096,0.25189,729,0.3311,291.67,729,66290000,0.4084,0,0,291.67,729,69490,152400,1651.4,106580,722.2,200,1500,8.61E-08,0.8345,167.86,0,291.67,1000,-37.347,"2,835",3.7937,0,0,291.67,464,0.00064761,0.7716,1013.3,"82,563",462.15,"1,000",0.3142,-0.00030809,0,0,291.67,0.2243,0.1713
Dimethyl terephthalate,C10H10O4,120-61-6,194.18,190020,431.04,0,0,0,423.4,466.35,772,2.78,0.529,0.229,0.6371,-644,-474,0.55,-4411.5,43.541,"-8,204.80",-2.7519,1.05E-18,6,413.8,772,0.50824,0.26885,772,0.2612,413.8,772,72360000,0.2424,0,0,413.8,772,117400,532000,2105,410000,818,298.15,1000.15,4.87E-08,0.8749,51.885,0,413.8,1000,-11.488,1922.6,0,0,0,413.8,561.15,"-25,190",0.3639,"-6,869,000,000",0,561.15,"1,000",0.21593,-0.00020805,0,0,413.8,0.1298,0.0992
"1,4-Dioxane",C4H8O2,123-91-1,88.11,956860,-5559.9,9.6124,0,0,284.95,374.47,587,5.208,0.238,0.254,0.2793,-315.8,-181.6,0.30012,-2186.3,44.494,"-5,406.70",-3.1287,2.89E-18,6,284.95,587,1.1819,0.2813,587,0.3047,284.95,587,50510000,0.3791,0,0,284.95,587,56184,270340,1517.1,176580,700.76,200,1500,2.73E-07,0.7393,129.93,0,284.95,1000,-46.166,3086.2,5.104,0,0,284.95,374.65,6.40E-07,1.7194,0,0,337.85,768.01,0.3027,-0.0004827,0,0,284.95,0.1652,0.1219
Diphenyl ether,C12H10O,101-84-8,170.21,134160,447.67,0,0,0,300.03,570,766.8,3.08,0.503,0.243,0.4389,52,175,0.413,-5893.9,59.969,"-8,585.50",-5.1538,2.00E-18,6,300.03,766.8,0.52133,0.26218,766.8,0.31033,300.03,766.8,68243000,0.30877,0,0,300.03,766.8,109850,434120,1622.2,364550,743.62,300,1200,2.85E-08,0.93622,0,0,300.03,1000,-12.373,2017.5,0,0,0,293.15,613.44,0.00014629,0.9377,745.89,0,531.46,"1,000",0.18686,-0.00014953,0,0,300.03,0.142,0.1074
Dipropyl amine,C6H15N,142-84-7,101.19,49120,562.24,0,0,0,277.9,407.9,550,3.14,0.402,0.276,0.4497,-116,86.8,0.429,-4018.9,54,"-6,018.50",-4.4981,9.97E-18,6,210.15,550,0.659,0.26428,550,0.2766,210.15,550,54280000,0.3665,0,0,210.15,550,121140,261270,789.56,169030,2394.4,300,1500,0.000000129,0.744,117.03,0,210.15,1000,-15.404,"1,390",0.5564,0,0,260,382.35,0,0.9958,183.2,"98,000",279.65,"1,000",0.2224,-0.000314,0,0,210.15,0.1564,0.1025
Dodecane,C12H26,112-40-3,170.34,508210,-1368.7,3.1015,0,0,263.57,330,658,1.82,0.755,0.251,0.5764,-290.72,49.81,0.62415,-7513.68,137.47,"-11,976",-16.698,8.09E-06,2,263.57,658,0.33267,0.24664,658,0.28571,263.57,658,77337000,0.40681,0,0,263.57,658,212950,663300,1715.5,451610,777.5,200,1500,6.34E-08,0.8287,219.5,0,263.57,1000,-7.8244,1191.9,-0.49963,3.96E+23,-10,262.15,526.4,0,1.4699,579.4,0,489.47,"1,000",0.2047,-0.0002326,0,0,263.57,0.1434,0.0908
Eicosane,C20H42,112-95-8,282.55,352720,807.32,0.2122,0,0,309.58,616.93,768,1.16,1.34,0.243,0.9069,-456.46,115.7,0.93787,-12390.8,203.66,"-19,441",-25.525,8.84E-06,2,309.58,768,0.18166,0.23351,768,0.28571,309.58,768,128600000,0.50351,0.32986,-0.42184,309.58,768,324810,1109000,1636,745000,726.27,200,1500,2.92E-07,0.62458,702.84,0,309.58,1000,-18.315,2283.5,0.95485,0,0,309.58,616.93,-375.32,1.0708,"-8,783,600,000",0,616.93,"1,000",0.2178,-0.0002233,0,0,309.58,0.1487,0.08
Ethane,C2H6,74-84-0,30.07,44.009,89718,918.77,-1886,0,92,290,305.32,4.872,0.1455,0.279,0.0995,-83.82,-31.92,0.22912,-1428.64,51.857,"-2,598.70",-5.1283,0.000014913,2,90.35,305.32,1.9122,0.27937,305.32,0.29187,90.35,305.32,21091000,0.60646,-0.55492,0.32799,90.35,305.32,40326,134220,1655.5,73223,752.87,200,1500,2.59E-07,0.67988,98.902,0,90.35,1000,-7.0046,276.38,-0.6087,-3.11E-18,7,90.35,300,0,1.1689,500.73,0,184.55,"1,000",0.35758,-0.0011458,6.19E-07,0,90.35,0.2591,0.0695
Ethanol,C2H6O,64-17-5,46.07,102640,-139.63,-0.030341,0.0020386,0,159.05,390,514,6.137,0.168,0.241,0.6436,-234.95,-167.85,0.28064,-1235,73.304,"-7,122.30",-7.1424,2.89E-06,2,159.05,514,1.6288,0.27469,514,0.23178,159.05,514,55789000,0.31245,0,0,159.05,514,49200,145770,1662.8,93900,744.7,200,1500,1.06E-07,0.8066,52.7,0,200,1000,7.875,781.98,-3.0418,0,0,200,440,-0.0101,0.6475,"-7,332","-268,000",293.15,"1,000",0.2468,-0.000264,0,0,159.05,0.2048,0.1536
Ethyl acetate,C4H8O2,141-78-6,88.11,226230,-624.8,1.472,0,0,189.6,350.21,523.3,3.88,0.286,0.255,0.3664,-444.5,-328,0.3597,-2061,66.824,"-6,227.60",-6.41,1.79E-17,6,189.6,523.3,0.8996,0.25856,523.3,0.278,189.6,523.3,49330000,0.3847,0,0,189.6,523.3,99810,209310,2022.6,180300,928.05,200,1500,0.000003214,0.3572,667,0,189.6,1000,14.354,-154.6,-3.7887,0,0,220,473.15,1.36E-07,1.9681,0,0,273.15,990.21,0.2501,-0.0003563,0,0,189.6,0.1826,0.1253
Ethyl amine,C2H7N,75-04-7,45.08,121700,38.993,0,0,0,192.15,289.73,456.15,5.62,0.207,0.307,0.2848,-47.15,36.16,0.2848,-1587.4,81.56,"-5,596.90",-9.0779,0.000008792,2,192.15,456.15,1.0936,0.22636,456.15,0.25522,192.15,456.15,42750000,0.5857,-0.332,0.169,192.15,456.15,59400,161800,1812,107800,820,200,1500,4.93E-07,0.5924,239.17,0,192.15,1000,19.822,-0.12598,-4.9793,0,0,192.15,289.73,0.3935,0.0131,"1,380","1,710,000",289.73,"1,000",0.30059,-0.000581,6.60E-07,0,192.15,0.2133,0.187
Ethylbenzene,C8H10,100-41-4,106.17,154040,-142.29,0.80539,0,0,178.2,409.35,617.15,3.609,0.374,0.263,0.3035,29.92,130.73,0.36063,-4344.8,89.063,"-7,733.70",-9.917,0.000005986,2,178.2,617.15,0.70041,0.26162,617.15,0.28454,178.2,617.15,54805000,0.39524,0,0,178.2,617.15,78440,339900,1559,242600,702,200,1500,4.22E-07,0.58154,239.21,0,178.2,1000,-13.563,1208.6,0.377,0,0,178.2,413.1,0,1.3144,560.65,0,409.35,"1,000",0.1999,-0.00023823,0,0,178.2,0.1575,0.1015
Ethyl benzoate,C9H10O2,93-89-0,150.18,124500,370.6,0,0,0,238.45,486.55,698,3.18,0.489,0.268,0.4771,-326,-190.5,0.455,-4410,52.923,"-7,531.70",-4.2347,1.18E-06,2,238.45,698,0.48864,0.23894,698,0.28421,238.45,698,67093000,0.33273,0,0,238.45,698,109440,417940,883.75,-160900,1183.1,300,1500,6.34E-08,0.8369,73.63,0,238.45,1000,-40.706,"3,035",4.2655,0,0,250,486.55,0.00002012,1.1513,-89.583,"125,410",486.55,"1,000",0.20771,-0.00021265,0,0,238.45,0.157,0.0909
2-Ethyl butanoic acid,C6H12O2,88-09-5,116.16,56359,603.02,0,0,0,258.15,466.95,655,3.41,0.389,0.244,0.6326,-537.8,-359,0.423,-3212.03,90.464,"-10,243",-9.2836,5.26E-18,6,258.15,655,0.66085,0.25707,655,0.31103,258.15,655,78980000,0.39445,0,0,258.15,655,104550,231480,710,147100,2061.6,300,1200.15,9.24E-08,0.7908,102.32,0,258.15,1000,-12.24,1836.4,0.021868,0,0,258.15,466.95,0.00017727,0.9428,712.4,0,466.95,"1,000",0.2175,-0.0002407,0,0,258.15,0.1554,0.0932
Ethyl butyrate,C6H12O2,105-54-4,116.16,82434,422.45,0.20992,0,0,285.5,428.25,571,2.95,0.403,0.25,0.4011,-485.5,-312.2,0.4417,-3284,57.661,"-6,346.50",-5.032,8.25E-18,6,175.15,571,0.63566,0.25613,571,0.27829,175.15,571,56419000,0.37985,0,0,175.15,571,111500,339100,1670.5,251800,733.6,298,1200,1.62E-07,0.7163,142.27,"3,590",175.15,1000,-15.485,1325.6,0.6432,0,0,250,394.65,829.29,1.0156,"8,955,300,000",0,394.65,"1,000",0.21043,-0.00024903,0,0,175.15,0.1668,0.0976
Ethylcyclohexane,C8H16,1678-91-7,112.21,132360,72.74,0.64738,0,0,161.84,404.95,609.15,3.04,0.43,0.258,0.2455,-171.5,39.55,0.3826,-4870.51,80.208,"-7,203.20",-8.6023,4.59E-06,2,161.84,609.15,0.61587,0.26477,609.15,0.28054,161.84,609.15,53832000,0.41763,0,0,161.84,609.15,110590,463060,1662.8,329900,781.1,200,1500,4.11E-07,0.57143,230.06,0,161.84,1000,-22.11,"1,673",1.641,0,0,200,404.94,0,1.1103,686,0,404.95,"1,000",0.17662,-0.0002014,0,0,161.84,0.144,0.0951
Ethylcyclopentane,C7H14,1640-89-7,98.19,178520,-518.35,2.3255,-0.0016818,0,134.71,301.82,569.5,3.4,0.375,0.269,0.2701,-126.9,44.8,0.3783,-4283.9,88.671,"-7,012.70",-10.045,7.46E-06,2,134.71,569.5,0.71751,0.26903,569.5,0.27733,134.71,569.5,48287000,0.37804,0,0,134.71,569.5,82052,403420,1567,266970,715.52,200,1500,2.17E-06,0.3812,577.77,0,134.71,1000,-6.894,818.6,-0.5941,0,0,253.15,378.15,0.004,0.5429,333.67,"570,470",376.62,"1,000",0.18334,-0.0002228,0,0,134.71,0.1533,0.0994
Ethylene,C2H4,74-85-1,28.05,247390,-4428,40.936,-0.1697,0.00026816,104,252.7,282.34,5.041,0.131,0.281,0.0862,52.51,68.44,0.2192,-1323,53.963,"-2,443",-5.5643,0.000019079,2,104,282.34,2.0961,0.27657,282.34,0.29147,104,282.34,18844000,0.36485,0,0,104,282.34,33380,94790,1596,55100,740.8,60,1500,2.08E-06,0.4163,352.7,0,169.41,1000,1.8878,78.865,-2.1554,0,0,104,250,8.68E-06,1.4559,299.72,"-29,403",170,590.92,0.4194,-0.001591,0.000001306,0,104,0.2681,0.0763
Ethylenediamine,C2H8N2,107-15-3,60.1,184440,-150.2,0.37044,0,0,284.29,390.41,593,6.29,0.264,0.337,0.4724,-17.3,103,0.321833,-1691,73.51,"-7,572.70",-7.1435,1.21E-17,6,284.29,593,0.7842,0.20702,593,0.20254,284.29,593,57521000,0.34513,0,0,284.29,593,72860,184360,1688,119900,767.3,300,1500,1.37E-07,0.7557,122.8,0,284.29,1000,-53.908,4030.8,5.9704,0,0,284.29,483.15,0.1655,0.1798,3827.9,"1,600,000",390.41,"1,000",0.36434,-0.0004433,0,0,284.29,0.2383,0.1913
Ethylene glycol,C2H6O2,107-21-1,62.07,35540,436.78,-0.18486,0,0,260.15,493.15,720,8.2,0.191,0.262,0.5068,-392.2,-301.8,0.304891,-1052.7,84.09,"-10,411",-8.1976,1.65E-18,6,260.15,720,1.315,0.25125,720,0.21868,260.15,720,83518000,0.42625,0,0,260.15,720,63012,145840,1673,97296,773.65,300,1500,8.67E-08,0.83923,75.512,0,260.15,1000,-20.515,2468.5,1.2435,2.50E+12,-5,260.15,576,"-8,145,800",-0.30502,"1,832,500,000",-1.18E+13,470.45,"1,000",0.088067,0.00094712,-1.31E-06,0,260.15,0.2457,0.2434
Ethyleneimine,C2H5N,151-56-4,43.07,46848,205.35,0,0,0,250,329,537,6.85,0.173,0.265,0.2007,123.428,177.987,0.25062,-1481,66.51,"-6,019.20",-6.3332,1.04E-17,6,195.2,537,1.3462,0.23289,537,0.23357,195.2,537,49400000,0.466,0,0,195.2,537,34300,142700,1638,103700,744.7,150,1500,2.81E-07,0.6792,238.46,0,329,1000,-11.012,967.4,0,0,0,250,329,0.00077079,0.7713,446.16,"197,930",329,"1,000",0.3097,-0.0004023,0,0,195.2,0.2312,0.1773
Ethylene oxide,C2H4O,75-21-8,44.05,144710,-758.87,2.8261,-0.003064,0,160.65,283.85,469.15,7.19,0.140296,0.25876,0.1974,-52.63,-13.23,0.24299,-1218,91.944,"-5,293.40",-11.682,0.014902,1,160.65,469.15,1.836,0.26024,469.15,0.2696,160.65,469.15,36652000,0.37878,0,0,160.65,469.15,33460,121160,1608.4,82410,737.3,50,1500,4.34E-08,0.94806,0,0,160.65,1000,-8.521,634.2,-0.3314,0,0,160.65,283.85,0,1.115,"-5,641",0,273.15,"1,000",0.26957,-0.0003984,0,0,160.65,0.2056,0.1565
Ethyl formate,C3H6O2,109-94-4,74.08,80000,223.6,0,0,0,254.2,374.2,508.4,4.74,0.229,0.257,0.2847,-388.3,-303.1,0.3282,-1506.96,73.833,"-5,817",-7.809,0.00000632,2,193.55,508.4,1.1343,0.26168,508.4,0.2791,193.55,508.4,45909000,0.4123,0,0,193.55,508.4,53700,188600,1207,86400,496,100,1500,6.76E-07,0.5804,354.9,0,193.55,1000,-9.8417,876.4,-0.1708,0,0,245,345,508,0.9023,"2,170,000,000",0,327.46,"1,000",0.2587,-0.00033,0,0,193.55,0.1948,0.1158
2-Ethyl hexanoic acid,C8H16O2,149-57-5,144.21,207670,-17.907,1.0493,0,0,235,510.1,674.6,2.778,0.528,0.262,0.8067,-559.5,-325,0.51,-4448,117.52,"-12,991",-12.895,6.13E-18,6,235,674.6,0.47428,0.25028,674.6,0.25442,235,674.6,111840000,0.86189,-0.47845,0.048646,235,674.6,157770,440170,1749.4,323780,792.34,298.15,1500,2.57E-08,0.94738,0,0,235,1000,-13.037,"2,346",0,0,0,235,510.1,2.58E-06,1.4669,0,0,500.66,"1,000",0.20954,-0.00022251,0,0,235,0.1573,0.0981
Ethylhexyl ether,C8H18O,5756-43-4,130.23,146040,458.22,0,0,0,298.15,417.15,583,2.46,0.487,0.247,0.4944,-333.7,-90.42,0.5076,-4943,77.523,"-7,978.80",-7.7757,1.01E-17,6,180,583,0.55729,0.2714,583,0.29538,180,583,62786000,0.39513,0,0,180,583,163400,451190,1753.2,310320,809.75,298.15,1200,7.91E-08,0.79565,83.193,0,180,1000,-11.311,1337.2,-0.02982,0,0,180,417.15,0.005,0.52982,1415.7,"378,180",417.15,"1,000",0.19356,-0.00024102,0,0,180,0.1502,0.0811
Ethylisopropyl ether,C5H12O,625-54-7,88.15,106250,292.15,0,0,0,298.15,326.15,489,3.41,0.329,0.276,0.3056,-285.8,-126.4,0.38,-3103,57.723,"-5,236.90",-5.2136,2.30E-17,6,140,489,0.8185,0.26929,489,0.30621,140,489,42580000,0.37221,0,0,140,489,109530,300320,1798.8,213110,817.35,298.15,1200,1.40E-07,0.74266,98.58,0,140,1000,-11.331,908.46,0.00042478,0,0,140,326.15,0.00021652,0.94192,632.16,0,326.15,"1,000",0.21928,-0.00032568,0,0,140,0.1737,0.0919
Ethylisopropyl ketone,C6H12O,565-69-5,100.16,229250,-404.54,1.1382,0,0,204.15,386.55,567,3.32,0.369,0.26,0.3891,-286.1,-133,0.4069,-3486.3,57.459,"-6,356.80",-4.9545,5.20E-18,6,204.15,567,0.68162,0.25152,567,0.3182,204.15,567,52207000,0.34893,0,0,204.15,567,124000,320000,1967,234600,896,298.15,1200,1.05E-07,0.76988,100.41,0,204.15,1000,-11.452,1172.7,-0.00010095,0,0,204.15,386.55,"-152,400",-0.0491,"80,955,000",-9.31E+11,386.55,"1,000",0.22873,-0.0002913,0,0,204.15,0.1693,0.0976
Ethyl mercaptan,C2H6S,75-08-1,62.13,134670,-234.39,0.59656,0,0,125.26,315.25,499.15,5.49,0.207,0.274,0.1878,-46.3,-4.814,0.2961,-1736.6,65.551,"-5,027.40",-6.6853,6.32E-06,2,125.26,499.15,1.3047,0.2694,499.15,0.27866,125.26,499.15,38440000,0.37534,0,0,125.26,499.15,55760,136170,1522.1,80730,687.5,200,1500,8.60E-08,0.8427,58.148,0,125.26,1000,-9.7574,729.43,-0.14912,0,0,125.26,308.15,0.002,0.70243,1347.5,"35,085",308.15,"1,000",0.23392,-0.0003206,0,0,125.26,0.1938,0.1351
Ethyl propionate,C5H10O2,105-37-3,102.13,76330,400.1,0,0,0,298.15,410,546,3.362,0.345,0.256,0.3944,-463.6,-319.3,0.4025,-2674,105.64,"-8,007",-12.477,0.000009,2,199.25,546,0.7405,0.25563,546,0.2795,199.25,546,53325000,0.401,0,0,199.25,546,93700,282900,1648,215500,724.7,300,1200,0.000000553,0.6061,273.66,0,199.25,1000,-8.9215,950.8,-0.32687,0,0,250,372.25,1.05E-07,1.9854,0,0,400,"1,000",0.2137,-0.0002515,0,0,199.25,0.1636,0.0892
